Date,Date Processed,Description,Amount
11/05/2025,13/05/2025,YO-CHI FORRES 183509    PERTH,11.34
10/05/2025,11/05/2025,KING'S KEBAB AND PIZZA  Atwell,19.18
10/05/2025,11/05/2025,KINGS KEBAB AND PIZZA,-3.84
10/05/2025,11/05/2025,MyPerfectResume.com     Strassen,4.00
10/05/2025,12/05/2025,WOOLWORTHS 4330 HARVEST ATWELL,5.80
09/05/2025,10/05/2025,GUZMAN Y GOMEZ          SURRY HILLS,36.70
08/05/2025,09/05/2025,HIKARU SUSHI & JAPANESE FOOD,-0.90
08/05/2025,09/05/2025,HIKARU SUSHI & JAPANESE PERTH,4.50
08/05/2025,09/05/2025,SYNERGY PERTH           PERTH,213.41
07/05/2025,07/05/2025,GRAND CENTRAL COFFEE    Bertram,18.00
07/05/2025,08/05/2025,KMART SUCCESS 1362      SUCCESS,6.50
06/05/2025,07/05/2025,HIKARU SUSHI & JAPANESE FOOD,-0.90
06/05/2025,07/05/2025,HIKARU SUSHI & JAPANESE PERTH,4.50
06/05/2025,07/05/2025,WOOLWORTHS 4301 ST GEOR PERTH,3.30
06/05/2025,07/05/2025,WOOLWORTHS 4330 HARVEST ATWELL,7.70
05/05/2025,07/05/2025,APPLE.COM/BILL          SYDNEY,1.49
05/05/2025,05/05/2025,PayID Payment Received Thank you,-2842.15
05/05/2025,07/05/2025,SPUDSHED                JANDAKOT,33.46
05/05/2025,07/05/2025,WOOLWORTHS 4394 GATEWAY SUCCESS WA,12.50
04/05/2025,05/05/2025,WOOLWORTHS 4330 HARVEST ATWELL,7.70
03/05/2025,04/05/2025,BURGER VILLAGE          VICTORIA PARK,46.69
03/05/2025,04/05/2025,UNIQLO AUSTRALIA PTY LT MELBOURNE,229.70
03/05/2025,05/05/2025,YO-CHI SOUTH PERTH 1921 SOUTH PERTH,8.58
02/05/2025,04/05/2025,WOOLWORTHS 4330 HARVEST ATWELL,38.80
01/05/2025,03/05/2025,CHEMIST WAREHOUSE SOUTH SOUTHERN RIVER,20.98
01/05/2025,03/05/2025,DESI MARKETPLACE        SOUTHERN RIVER,66.32
01/05/2025,02/05/2025,HIKARU SUSHI & JAPANESE FOOD,-0.90
01/05/2025,02/05/2025,HIKARU SUSHI & JAPANESE PERTH,4.50
