Date,Date Processed,Description,Amount
14/02/2025,15/02/2025,ZLR*SAN CHURRO NORTHBRI NORTHBRIDGE,11.07
15/02/2025,16/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,60.96
16/02/2025,17/02/2025,GELATO MESSINA HIGHGATE HIGHGATE,7.12
16/02/2025,17/02/2025,MYER GARDEN CITY        BOORAGOON,71
16/02/2025,17/02/2025,PRICELINE BOORAGOON     BOORAGOON,8.49
16/02/2025,17/02/2025,SUSHI HUB BOORAGOON     BOORAGOON,14.5
17/02/2025,17/02/2025,8 YOLKS SUCCESS         Success,6.88
17/02/2025,17/02/2025,AAMI PI REALTIME        BRISBANE,102.1
17/02/2025,17/02/2025,BRIDGESTONE SELECT TYRE SUCCESS,85
17/02/2025,19/02/2025,DESI MARKETPLACE        SOUTHERN RIVER,78.58
17/02/2025,19/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,135.08
18/02/2025,19/02/2025,AAMI PI REALTIME        BRISBANE,123.56
18/02/2025,19/02/2025,BP THOMSON LAKES        SUCCESS,44.87
18/02/2025,19/02/2025,TEMU.COM                PARRAMATTA,-118.14
18/02/2025,19/02/2025,TEMU.COM                PARRAMATTA,-41.16
18/02/2025,19/02/2025,TEMU.COM                PARRAMATTA,-18.6
18/02/2025,19/02/2025,TEMU.COM                PARRAMATTA,1.91
18/02/2025,19/02/2025,TEMU.COM                PARRAMATTA,8.79
18/02/2025,19/02/2025,TEMU.COM                PARRAMATTA,76.18
18/02/2025,19/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,4.05
18/02/2025,19/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,8.9
19/02/2025,19/02/2025,AAMI PI REALTIME        BRISBANE,-31.04
19/02/2025,20/02/2025,H&M AUSTRALIA AU0010    PERTH,126.11
20/02/2025,21/02/2025,FRY?D LEEDERVILLE       Scarborough,16.15
20/02/2025,21/02/2025,IKEA PERTH              INNALOO,39
20/02/2025,21/02/2025,MR GOZ                  Scarborough,20.32
21/02/2025,21/02/2025,COLES GATEWAY 490       SUCCESS,36.75
21/02/2025,22/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,4.5
21/02/2025,22/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,23.88
22/02/2025,22/02/2025,8 YOLKS SUCCESS         Success,8.94
22/02/2025,22/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,7.63
22/02/2025,23/02/2025,WOOLWORTHS 4416 BUSSELT BUSSELTON,6.4
23/02/2025,23/02/2025,DOTTI-F36-EATON FAIR    EATON,-118.93
23/02/2025,23/02/2025,DOTTI-F36-EATON FAIR    EATON,25
23/02/2025,23/02/2025,DOTTI-F36-EATON FAIR    EATON,118.93
23/02/2025,23/02/2025,DOTTI-F36-EATON FAIR    EATON,143.93
23/02/2025,24/02/2025,SPUD SHED               BALDIVIS,93.26
23/02/2025,23/02/2025,THE GOOSE BEACH BAR &   BUSSELTON,33.56
24/02/2025,25/02/2025,AAMI PI REALTIME        BRISBANE,64.59
24/02/2025,25/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,45.1
25/02/2025,26/02/2025,BOBABOBA COCKBURN 13876 COCKBURN CENTRA,8.62
25/02/2025,26/02/2025,BP THOMSON LAKES        SUCCESS,64.56
25/02/2025,26/02/2025,GUZMAN Y GOMEZ          SURRY HILLS,6.5
25/02/2025,26/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,3.5
25/02/2025,26/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,4.96
25/02/2025,25/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,5.8
26/02/2025,27/02/2025,BIG W 0444 GATEWAYS     BATEMAM,35.36
26/02/2025,26/02/2025,HIKARU SUSHI & JAPANESE PERTH,4.5
26/02/2025,27/02/2025,IKEA PERTH              INNALOO,-39
26/02/2025,28/02/2025,NIB HEALTH FUNDS LIMITE NEWCASTLE,80.07
